Month,Avg. Players,Gain,% Gain,Peak Players,game_id,id
"January 5, 2021",$9.99,+$8.00,-,10
"December 22, 2020",$1.99,-$8.00,-80%,10
"December 1, 2020",$9.99,+$8.00,-,10
"November 25, 2020",$1.99,-$8.00,-80%,10
"July 9, 2020",$9.99,+$8.00,-,10
"June 25, 2020",$1.99,-$8.00,-80%,10
"January 2, 2020",$9.99,+$9.00,-,10
"December 19, 2019",$0.99,-$9.00,-90%,10
"December 3, 2019",$9.99,+$9.00,-,10
"November 26, 2019",$0.99,-$9.00,-90%,10
"July 9, 2019",$9.99,+$9.00,-,10
"June 25, 2019",$0.99,-$9.00,-90%,10
"February 11, 2019",$9.99,+$9.00,-,10
"February 4, 2019",$0.99,-$9.00,-90%,10
"January 3, 2019",$9.99,+$9.00,-,10
"December 20, 2018",$0.99,-$9.00,-90%,10
"November 27, 2018",$9.99,+$9.00,-,10
"November 21, 2018",$0.99,-$9.00,-90%,10
"July 5, 2018",$9.99,+$9.00,-,10
"June 21, 2018",$0.99,-$9.00,-90%,10
"February 19, 2018",$9.99,+$9.00,-,10
"February 15, 2018",$0.99,-$9.00,-90%,10
"January 4, 2018",$9.99,+$9.00,-,10
"December 21, 2017",$0.99,-$9.00,-90%,10
"November 28, 2017",$9.99,+$9.00,-,10
"November 22, 2017",$0.99,-$9.00,-90%,10
"July 5, 2017",$9.99,+$7.50,-,10
"June 22, 2017",$2.49,-$7.50,-75%,10
"January 2, 2017",$9.99,+$7.50,-,10
"December 22, 2016",$2.49,-$7.50,-75%,10
"December 1, 2016",$9.99,+$7.50,-,10
"November 23, 2016",$2.49,-$7.50,-75%,10
"February 12, 2016",$9.99,+$7.50,-,10
"February 5, 2016",$2.49,-$7.50,-75%,10
"January 4, 2016",$9.99,+$5.00,-,10
"December 22, 2015",$4.99,-$5.00,-50%,10
"December 1, 2015",$9.99,+$5.00,-,10
"November 25, 2015",$4.99,-$5.00,-50%,10
"June 22, 2015",$9.99,+$2.50,-,10
"June 11, 2015",$7.49,-$2.50,-50%,10
"March 16, 2015",$9.99,+$2.50,-,10
"March 13, 2015",$7.49,-$2.50,-50%,10
"January 2, 2015",$9.99,+$6.25,-,10
"December 31, 2014",$3.74,-$1.25,-75%,10
"December 28, 2014",$4.99,+$1.25,-50%,10
"December 26, 2014",$3.74,-$1.25,-75%,10
"December 18, 2014",$4.99,-$5.00,-50%,10
"December 2, 2014",$9.99,+$5.00,-,10
"November 28, 2014",$4.99,+$1.25,-50%,10
"November 27, 2014",$3.74,-,-75%,10
"January 5, 2021",$4.99,+$4.00,-,20
"December 22, 2020",$0.99,-$4.00,-80%,20
"December 1, 2020",$4.99,+$4.00,-,20
"November 25, 2020",$0.99,-$4.00,-80%,20
"July 9, 2020",$4.99,+$4.00,-,20
"June 25, 2020",$0.99,-$4.00,-80%,20
"July 9, 2019",$4.99,+$4.50,-,20
"June 25, 2019",$0.49,-$4.50,-90%,20
"February 11, 2019",$4.99,+$4.00,-,20
"February 4, 2019",$0.99,-$4.00,-80%,20
"January 3, 2019",$4.99,+$4.00,-,20
"December 20, 2018",$0.99,-$4.00,-80%,20
"November 27, 2018",$4.99,+$4.00,-,20
"November 21, 2018",$0.99,-$4.00,-80%,20
"July 5, 2018",$4.99,+$4.00,-,20
"June 21, 2018",$0.99,-$4.00,-80%,20
"February 19, 2018",$4.99,+$4.00,-,20
"February 15, 2018",$0.99,-$4.00,-80%,20
"January 4, 2018",$4.99,+$4.00,-,20
"December 21, 2017",$0.99,-$4.00,-80%,20
"November 28, 2017",$4.99,+$4.00,-,20
"November 22, 2017",$0.99,-$4.00,-80%,20
"July 5, 2017",$4.99,+$4.00,-,20
"June 22, 2017",$0.99,-$4.00,-80%,20
"January 2, 2017",$4.99,+$3.99,-,20
"December 22, 2016",$1.00,-$3.99,-80%,20
"July 4, 2016",$4.99,+$4.00,-,20
"June 23, 2016",$0.99,-$4.00,-80%,20
"February 12, 2016",$4.99,+$3.75,-,20
"February 5, 2016",$1.24,-$3.75,-75%,20
"January 4, 2016",$4.99,+$1.25,-,20
"December 22, 2015",$3.74,-$1.25,-75%,20
"December 1, 2015",$4.99,+$1.25,-,20
"November 25, 2015",$3.74,-$1.25,-75%,20
"June 22, 2015",$4.99,+$3.75,-,20
"June 11, 2015",$1.24,-$3.75,-75%,20
"January 2, 2015",$4.99,+$2.50,-,20
"December 18, 2014",$2.49,-$2.50,-50%,20
"December 2, 2014",$4.99,+$2.50,-,20
"November 27, 2014",$2.49,-,-50%,20
"January 5, 2021",$4.99,+$4.00,-,30
"December 22, 2020",$0.99,-$4.00,-80%,30
"December 1, 2020",$4.99,+$4.00,-,30
"November 25, 2020",$0.99,-$4.00,-80%,30
"July 9, 2020",$4.99,+$4.00,-,30
"June 25, 2020",$0.99,-$4.00,-80%,30
"January 2, 2020",$4.99,+$4.50,-,30
"December 19, 2019",$0.49,-$4.50,-90%,30
"December 3, 2019",$4.99,+$4.50,-,30
"November 26, 2019",$0.49,-$4.50,-90%,30
"July 9, 2019",$4.99,+$4.50,-,30
"June 25, 2019",$0.49,-$4.50,-90%,30
"February 11, 2019",$4.99,+$4.00,-,30
"February 4, 2019",$0.99,-$4.00,-80%,30
"January 3, 2019",$4.99,+$4.00,-,30
"December 20, 2018",$0.99,-$4.00,-80%,30
"November 27, 2018",$4.99,+$4.00,-,30
"November 21, 2018",$0.99,-$4.00,-80%,30
"July 5, 2018",$4.99,+$4.00,-,30
"June 21, 2018",$0.99,-$4.00,-80%,30
"February 19, 2018",$4.99,+$4.00,-,30
"February 15, 2018",$0.99,-$4.00,-80%,30
"January 4, 2018",$4.99,+$4.00,-,30
"December 21, 2017",$0.99,-$4.00,-80%,30
"November 28, 2017",$4.99,+$4.00,-,30
"November 22, 2017",$0.99,-$4.00,-80%,30
"July 5, 2017",$4.99,+$4.00,-,30
"June 22, 2017",$0.99,-$4.00,-80%,30
"January 2, 2017",$4.99,+$4.00,-,30
"December 22, 2016",$0.99,-$4.00,-80%,30
"December 1, 2016",$4.99,+$4.00,-,30
"November 23, 2016",$0.99,-$4.00,-80%,30
"July 4, 2016",$4.99,+$3.75,-,30
"June 23, 2016",$1.24,-$3.75,-75%,30
"February 12, 2016",$4.99,+$3.75,-,30
"February 5, 2016",$1.24,-$3.75,-75%,30
"January 4, 2016",$4.99,+$3.75,-,30
"December 22, 2015",$1.24,-$3.75,-75%,30
"December 1, 2015",$4.99,+$3.75,-,30
"November 25, 2015",$1.24,-$3.75,-75%,30
"June 22, 2015",$4.99,+$3.75,-,30
"June 11, 2015",$1.24,-$3.75,-75%,30
"January 2, 2015",$4.99,+$2.50,-,30
"December 18, 2014",$2.49,-$2.50,-50%,30
"December 2, 2014",$4.99,+$2.50,-,30
"November 27, 2014",$2.49,-,-50%,30
"January 5, 2021",$4.99,+$4.00,-,40
"December 22, 2020",$0.99,-$4.00,-80%,40
"December 1, 2020",$4.99,+$4.00,-,40
"November 25, 2020",$0.99,-$4.00,-80%,40
"July 9, 2020",$4.99,+$4.00,-,40
"June 25, 2020",$0.99,-$4.00,-80%,40
"January 2, 2020",$4.99,+$4.50,-,40
"December 19, 2019",$0.49,-$4.50,-90%,40
"December 3, 2019",$4.99,+$4.50,-,40
"November 26, 2019",$0.49,-$4.50,-90%,40
"July 9, 2019",$4.99,+$4.50,-,40
"June 25, 2019",$0.49,-$4.50,-90%,40
"February 11, 2019",$4.99,+$4.00,-,40
"February 4, 2019",$0.99,-$4.00,-80%,40
"January 3, 2019",$4.99,+$4.00,-,40
"December 20, 2018",$0.99,-$4.00,-80%,40
"November 27, 2018",$4.99,+$4.00,-,40
"November 21, 2018",$0.99,-$4.00,-80%,40
"July 5, 2018",$4.99,+$4.00,-,40
"June 21, 2018",$0.99,-$4.00,-80%,40
"February 19, 2018",$4.99,+$4.00,-,40
"February 15, 2018",$0.99,-$4.00,-80%,40
"January 4, 2018",$4.99,+$4.00,-,40
"December 21, 2017",$0.99,-$4.00,-80%,40
"November 28, 2017",$4.99,+$4.00,-,40
"November 22, 2017",$0.99,-$4.00,-80%,40
"July 5, 2017",$4.99,+$4.00,-,40
"June 22, 2017",$0.99,-$4.00,-80%,40
"January 2, 2017",$4.99,+$4.00,-,40
"December 22, 2016",$0.99,-$4.00,-80%,40
"November 30, 2016",$4.99,+$4.00,-,40
"November 23, 2016",$0.99,-$4.00,-80%,40
"July 4, 2016",$4.99,+$3.75,-,40
"June 23, 2016",$1.24,-$3.75,-75%,40
"February 12, 2016",$4.99,+$3.75,-,40
"February 5, 2016",$1.24,-$3.75,-75%,40
"January 4, 2016",$4.99,+$3.75,-,40
"December 22, 2015",$1.24,-$3.75,-75%,40
"December 1, 2015",$4.99,+$3.75,-,40
"November 25, 2015",$1.24,-$3.75,-75%,40
"June 22, 2015",$4.99,+$3.75,-,40
"June 11, 2015",$1.24,-$3.75,-75%,40
"January 2, 2015",$4.99,+$2.50,-,40
"December 18, 2014",$2.49,-$2.50,-50%,40
"December 2, 2014",$4.99,+$2.50,-,40
"November 27, 2014",$2.49,-,-50%,40
"January 5, 2021",$4.99,+$4.00,-,50
"December 22, 2020",$0.99,-$4.00,-80%,50
"December 1, 2020",$4.99,+$4.00,-,50
"November 25, 2020",$0.99,-$4.00,-80%,50
"July 9, 2020",$4.99,+$4.00,-,50
"June 25, 2020",$0.99,-$4.00,-80%,50
"January 2, 2020",$4.99,+$4.50,-,50
"December 19, 2019",$0.49,-$4.50,-90%,50
"December 3, 2019",$4.99,+$4.50,-,50
"November 26, 2019",$0.49,-$4.50,-90%,50
"July 9, 2019",$4.99,+$4.50,-,50
"June 25, 2019",$0.49,-$4.50,-90%,50
"February 11, 2019",$4.99,+$4.00,-,50
"February 4, 2019",$0.99,-$4.00,-80%,50
"January 3, 2019",$4.99,+$4.00,-,50
"December 20, 2018",$0.99,-$4.00,-80%,50
"November 27, 2018",$4.99,+$4.00,-,50
"November 21, 2018",$0.99,-$4.00,-80%,50
"July 5, 2018",$4.99,+$4.00,-,50
"June 21, 2018",$0.99,-$4.00,-80%,50
"February 19, 2018",$4.99,+$4.00,-,50
"February 15, 2018",$0.99,-$4.00,-80%,50
"January 4, 2018",$4.99,+$4.00,-,50
"December 21, 2017",$0.99,-$4.00,-80%,50
"November 28, 2017",$4.99,+$4.00,-,50
"November 22, 2017",$0.99,-$4.00,-80%,50
"July 5, 2017",$4.99,+$4.00,-,50
"June 22, 2017",$0.99,-$4.00,-80%,50
"January 2, 2017",$4.99,+$4.00,-,50
"December 22, 2016",$0.99,-$4.00,-80%,50
"November 30, 2016",$4.99,+$4.00,-,50
"November 23, 2016",$0.99,-$4.00,-80%,50
"July 4, 2016",$4.99,+$4.00,-,50
"June 23, 2016",$0.99,-$4.00,-80%,50
"February 12, 2016",$4.99,+$3.75,-,50
"February 5, 2016",$1.24,-$3.75,-75%,50
"January 4, 2016",$4.99,+$3.75,-,50
"December 22, 2015",$1.24,-$3.75,-75%,50
"December 1, 2015",$4.99,+$3.75,-,50
"November 25, 2015",$1.24,-$3.75,-75%,50
"July 18, 2015",$4.99,0.00,-,50
"June 22, 2015",$4.99,+$3.75,-,50
"June 11, 2015",$1.24,-$3.75,-75%,50
"January 2, 2015",$4.99,+$2.50,-,50
"December 18, 2014",$2.49,-$2.50,-50%,50
"December 2, 2014",$4.99,+$2.50,-,50
"November 27, 2014",$2.49,-,-50%,50
