Sale,Date Start,Price,Discount,game_id,id
Winter Sale 2020,"Dec 22, 2020",$1.99,-80%,10
Autumn Sale 2020,"Nov 25, 2020",$1.99,-80%,10
Summer Sale 2020,"Jun 25, 2020",$1.99,-80%,10
Winter Sale 2019,"Dec 19, 2019",$0.99,-90%,10
Autumn Sale 2019,"Nov 26, 2019",$0.99,-90%,10
Summer Sale 2019 (Grand Prix),"Jun 25, 2019",$0.99,-90%,10
Lunar New Year Sale 2019,"Feb 4, 2019",$0.99,-90%,10
Winter Sale 2018 (Extremely Cozy Cottage of Surprises),"Dec 20, 2018",$0.99,-90%,10
Autumn Sale 2018 (Steam Awards Nominations),"Nov 21, 2018",$0.99,-90%,10
Summer Sale 2018,"Jun 21, 2018",$0.99,-90%,10
Lunar New Year Sale 2018,"Feb 15, 2018",$0.99,-90%,10
Winter Sale 2017,"Dec 21, 2017",$0.99,-90%,10
Autumn Sale 2017 (Steam Awards Nominations),"Nov 22, 2017",$0.99,-90%,10
Summer Sale 2017,"Jun 22, 2017",$2.49,-75%,10
Winter Sale 2016,"Dec 22, 2016",$2.49,-75%,10
Autumn Sale 2016 (Steam Awards Nominations),"Nov 23, 2016",$2.49,-75%,10
Lunar New Year Sale 2016,"Feb 5, 2016",$2.49,-75%,10
Winter Sale 2015 (Gingerbread Jake In: North Pole Noir),"Dec 22, 2015",$4.99,-50%,10
Summer Sale 2015 (Monster Summer),"Jun 11, 2015",$7.49,-50%,10
Winter Sale 2014 (Holiday Auction),"Dec 18, 2014",$4.99,-50%,10
Winter Sale 2020,"Dec 22, 2020",$0.99,-80%,20
Autumn Sale 2020,"Nov 25, 2020",$0.99,-80%,20
Summer Sale 2020,"Jun 25, 2020",$0.99,-80%,20
Summer Sale 2019 (Grand Prix),"Jun 25, 2019",$0.49,-90%,20
Lunar New Year Sale 2019,"Feb 4, 2019",$0.99,-80%,20
Winter Sale 2018 (Extremely Cozy Cottage of Surprises),"Dec 20, 2018",$0.99,-80%,20
Autumn Sale 2018 (Steam Awards Nominations),"Nov 21, 2018",$0.99,-80%,20
Summer Sale 2018,"Jun 21, 2018",$0.99,-80%,20
Lunar New Year Sale 2018,"Feb 15, 2018",$0.99,-80%,20
Winter Sale 2017,"Dec 21, 2017",$0.99,-80%,20
Autumn Sale 2017 (Steam Awards Nominations),"Nov 22, 2017",$0.99,-80%,20
Summer Sale 2017,"Jun 22, 2017",$0.99,-80%,20
Winter Sale 2016,"Dec 22, 2016",$1.00,-80%,20
Summer Sale 2016 (Picnic),"Jun 23, 2016",$0.99,-80%,20
Lunar New Year Sale 2016,"Feb 5, 2016",$1.24,-75%,20
Winter Sale 2015 (Gingerbread Jake In: North Pole Noir),"Dec 22, 2015",$3.74,-75%,20
Summer Sale 2015 (Monster Summer),"Jun 11, 2015",$1.24,-75%,20
Winter Sale 2014 (Holiday Auction),"Dec 18, 2014",$2.49,-50%,20
Winter Sale 2020,"Dec 22, 2020",$0.99,-80%,30
Autumn Sale 2020,"Nov 25, 2020",$0.99,-80%,30
Summer Sale 2020,"Jun 25, 2020",$0.99,-80%,30
Winter Sale 2019,"Dec 19, 2019",$0.49,-90%,30
Autumn Sale 2019,"Nov 26, 2019",$0.49,-90%,30
Summer Sale 2019 (Grand Prix),"Jun 25, 2019",$0.49,-90%,30
Lunar New Year Sale 2019,"Feb 4, 2019",$0.99,-80%,30
Winter Sale 2018 (Extremely Cozy Cottage of Surprises),"Dec 20, 2018",$0.99,-80%,30
Autumn Sale 2018 (Steam Awards Nominations),"Nov 21, 2018",$0.99,-80%,30
Summer Sale 2018,"Jun 21, 2018",$0.99,-80%,30
Lunar New Year Sale 2018,"Feb 15, 2018",$0.99,-80%,30
Winter Sale 2017,"Dec 21, 2017",$0.99,-80%,30
Autumn Sale 2017 (Steam Awards Nominations),"Nov 22, 2017",$0.99,-80%,30
Summer Sale 2017,"Jun 22, 2017",$0.99,-80%,30
Winter Sale 2016,"Dec 22, 2016",$0.99,-80%,30
Autumn Sale 2016 (Steam Awards Nominations),"Nov 23, 2016",$0.99,-80%,30
Summer Sale 2016 (Picnic),"Jun 23, 2016",$1.24,-75%,30
Lunar New Year Sale 2016,"Feb 5, 2016",$1.24,-75%,30
Winter Sale 2015 (Gingerbread Jake In: North Pole Noir),"Dec 22, 2015",$1.24,-75%,30
Summer Sale 2015 (Monster Summer),"Jun 11, 2015",$1.24,-75%,30
Winter Sale 2014 (Holiday Auction),"Dec 18, 2014",$2.49,-50%,30
Winter Sale 2020,"Dec 22, 2020",$0.99,-80%,40
Autumn Sale 2020,"Nov 25, 2020",$0.99,-80%,40
Summer Sale 2020,"Jun 25, 2020",$0.99,-80%,40
Winter Sale 2019,"Dec 19, 2019",$0.49,-90%,40
Autumn Sale 2019,"Nov 26, 2019",$0.49,-90%,40
Summer Sale 2019 (Grand Prix),"Jun 25, 2019",$0.49,-90%,40
Lunar New Year Sale 2019,"Feb 4, 2019",$0.99,-80%,40
Winter Sale 2018 (Extremely Cozy Cottage of Surprises),"Dec 20, 2018",$0.99,-80%,40
Autumn Sale 2018 (Steam Awards Nominations),"Nov 21, 2018",$0.99,-80%,40
Summer Sale 2018,"Jun 21, 2018",$0.99,-80%,40
Lunar New Year Sale 2018,"Feb 15, 2018",$0.99,-80%,40
Winter Sale 2017,"Dec 21, 2017",$0.99,-80%,40
Autumn Sale 2017 (Steam Awards Nominations),"Nov 22, 2017",$0.99,-80%,40
Summer Sale 2017,"Jun 22, 2017",$0.99,-80%,40
Winter Sale 2016,"Dec 22, 2016",$0.99,-80%,40
Autumn Sale 2016 (Steam Awards Nominations),"Nov 23, 2016",$0.99,-80%,40
Summer Sale 2016 (Picnic),"Jun 23, 2016",$1.24,-75%,40
Lunar New Year Sale 2016,"Feb 5, 2016",$1.24,-75%,40
Winter Sale 2015 (Gingerbread Jake In: North Pole Noir),"Dec 22, 2015",$1.24,-75%,40
Summer Sale 2015 (Monster Summer),"Jun 11, 2015",$1.24,-75%,40
Winter Sale 2014 (Holiday Auction),"Dec 18, 2014",$2.49,-50%,40
Winter Sale 2020,"Dec 22, 2020",$0.99,-80%,50
Autumn Sale 2020,"Nov 25, 2020",$0.99,-80%,50
Summer Sale 2020,"Jun 25, 2020",$0.99,-80%,50
Winter Sale 2019,"Dec 19, 2019",$0.49,-90%,50
Autumn Sale 2019,"Nov 26, 2019",$0.49,-90%,50
Summer Sale 2019 (Grand Prix),"Jun 25, 2019",$0.49,-90%,50
Lunar New Year Sale 2019,"Feb 4, 2019",$0.99,-80%,50
Winter Sale 2018 (Extremely Cozy Cottage of Surprises),"Dec 20, 2018",$0.99,-80%,50
Autumn Sale 2018 (Steam Awards Nominations),"Nov 21, 2018",$0.99,-80%,50
Summer Sale 2018,"Jun 21, 2018",$0.99,-80%,50
Lunar New Year Sale 2018,"Feb 15, 2018",$0.99,-80%,50
Winter Sale 2017,"Dec 21, 2017",$0.99,-80%,50
Autumn Sale 2017 (Steam Awards Nominations),"Nov 22, 2017",$0.99,-80%,50
Summer Sale 2017,"Jun 22, 2017",$0.99,-80%,50
Winter Sale 2016,"Dec 22, 2016",$0.99,-80%,50
Autumn Sale 2016 (Steam Awards Nominations),"Nov 23, 2016",$0.99,-80%,50
Summer Sale 2016 (Picnic),"Jun 23, 2016",$0.99,-80%,50
Lunar New Year Sale 2016,"Feb 5, 2016",$1.24,-75%,50
Winter Sale 2015 (Gingerbread Jake In: North Pole Noir),"Dec 22, 2015",$1.24,-75%,50
Summer Sale 2015 (Monster Summer),"Jun 11, 2015",$1.24,-75%,50
Winter Sale 2014 (Holiday Auction),"Dec 18, 2014",$2.49,-50%,50
